,date,state,handgun,long_gun,multiple
428,2012-03-01,Florida,41823.0,21504.0,1514
429,2012-03-01,Iowa,162.0,3926.0,5
430,2012-03-01,Nevada,5913.0,4642.0,380
431,2012-03-01,Ohio,33749.0,19245.0,1146
432,2012-02-01,Florida,43744.0,22852.0,1817
433,2012-02-01,Iowa,153.0,3884.0,10
434,2012-02-01,Nevada,5623.0,3881.0,405
435,2012-02-01,Ohio,35526.0,19840.0,1576
436,2012-01-01,Florida,34951.0,18761.0,1402
437,2012-01-01,Iowa,142.0,3006.0,4
438,2012-01-01,Nevada,4416.0,3282.0,276
439,2012-01-01,Ohio,22307.0,13742.0,760
440,2011-12-01,Florida,40463.0,31791.0,2134
441,2011-12-01,Iowa,145.0,6670.0,5
442,2011-12-01,Nevada,5671.0,5643.0,368
443,2011-12-01,Ohio,29717.0,28886.0,1162
444,2011-11-01,Florida,30827.0,23480.0,1700
445,2011-11-01,Iowa,134.0,6094.0,6
446,2011-11-01,Nevada,4176.0,4092.0,275
447,2011-11-01,Ohio,21362.0,24640.0,931
448,2011-10-01,Florida,29491.0,18379.0,1693
449,2011-10-01,Iowa,99.0,4192.0,3
450,2011-10-01,Nevada,3938.0,3211.0,271
451,2011-10-01,Ohio,19153.0,16836.0,858
452,2011-09-01,Florida,29341.0,16267.0,1667
453,2011-09-01,Iowa,88.0,3390.0,4
454,2011-09-01,Nevada,4048.0,3066.0,277
455,2011-09-01,Ohio,17864.0,14411.0,821
456,2011-08-01,Florida,29668.0,15927.0,1643
457,2011-08-01,Iowa,69.0,2629.0,2
458,2011-08-01,Nevada,4140.0,3276.0,282
459,2011-08-01,Ohio,17325.0,13410.0,743
460,2011-07-01,Florida,27240.0,13412.0,1455
461,2011-07-01,Iowa,37.0,1812.0,3
462,2011-07-01,Nevada,3816.0,2804.0,213
463,2011-07-01,Ohio,15404.0,10937.0,649
464,2011-06-01,Florida,27744.0,13091.0,1470
465,2011-06-01,Iowa,43.0,1803.0,3
466,2011-06-01,Nevada,3756.0,2919.0,278
467,2011-06-01,Ohio,15226.0,9991.0,591
468,2011-05-01,Florida,27882.0,12952.0,1306
469,2011-05-01,Iowa,46.0,1809.0,5
470,2011-05-01,Nevada,4375.0,3208.0,275
471,2011-05-01,Ohio,17056.0,10842.0,641
472,2011-04-01,Florida,30697.0,14985.0,1399
473,2011-04-01,Iowa,59.0,2984.0,1
474,2011-04-01,Nevada,4410.0,3383.0,277
475,2011-04-01,Ohio,21622.0,14325.0,822
476,2011-03-01,Florida,35962.0,17283.0,1614
477,2011-03-01,Iowa,91.0,4095.0,10
478,2011-03-01,Nevada,5549.0,4111.0,344
479,2011-03-01,Ohio,26107.0,16404.0,893
480,2011-02-01,Florida,37890.0,18121.0,1703
481,2011-02-01,Iowa,98.0,3332.0,7
482,2011-02-01,Nevada,5043.0,3362.0,332
483,2011-02-01,Ohio,24197.0,14456.0,1147
484,2011-01-01,Florida,32684.0,16731.0,1420
485,2011-01-01,Iowa,86.0,3028.0,4
486,2011-01-01,Nevada,4324.0,3067.0,272
487,2011-01-01,Ohio,18305.0,11163.0,691
488,2010-12-01,Florida,34196.0,27204.0,1564
489,2010-12-01,Iowa,76.0,6065.0,5
490,2010-12-01,Nevada,5046.0,4759.0,311
491,2010-12-01,Ohio,21429.0,22061.0,766
492,2010-11-01,Florida,27691.0,19404.0,1366
493,2010-11-01,Iowa,40.0,6199.0,5
494,2010-11-01,Nevada,3774.0,3365.0,245
495,2010-11-01,Ohio,16886.0,22161.0,644
496,2010-10-01,Florida,26902.0,15965.0,1358
497,2010-10-01,Iowa,42.0,4289.0,6
498,2010-10-01,Nevada,3529.0,2744.0,243
499,2010-10-01,Ohio,16955.0,14932.0,724
500,2010-09-01,Florida,25405.0,13802.0,1239
501,2010-09-01,Iowa,35.0,3312.0,5
502,2010-09-01,Nevada,3393.0,2757.0,230
503,2010-09-01,Ohio,14875.0,12466.0,647
504,2010-08-01,Florida,25610.0,13532.0,1243
505,2010-08-01,Iowa,40.0,2496.0,0
506,2010-08-01,Nevada,3608.0,2911.0,217
507,2010-08-01,Ohio,14235.0,11330.0,570
508,2010-07-01,Florida,25729.0,12007.0,1186
509,2010-07-01,Iowa,50.0,1700.0,1
510,2010-07-01,Nevada,3329.0,2336.0,216
511,2010-07-01,Ohio,14141.0,9700.0,553
512,2010-06-01,Florida,24424.0,11565.0,1239
513,2010-06-01,Iowa,54.0,1938.0,2
514,2010-06-01,Nevada,3399.0,2595.0,231
515,2010-06-01,Ohio,12808.0,8904.0,513
516,2010-05-01,Florida,25428.0,11640.0,1107
517,2010-05-01,Iowa,44.0,1732.0,3
518,2010-05-01,Nevada,3919.0,2883.0,282
519,2010-05-01,Ohio,14214.0,9410.0,515
520,2010-04-01,Florida,26817.0,12952.0,1207
521,2010-04-01,Iowa,37.0,2442.0,5
522,2010-04-01,Nevada,4284.0,3138.0,259
523,2010-04-01,Ohio,17333.0,11342.0,635
524,2010-03-01,Florida,32241.0,16265.0,1461
525,2010-03-01,Iowa,73.0,4220.0,5
526,2010-03-01,Nevada,4820.0,3390.0,249
527,2010-03-01,Ohio,21508.0,14073.0,710
528,2010-02-01,Florida,30890.0,16415.0,1268
529,2010-02-01,Iowa,61.0,3259.0,5
530,2010-02-01,Nevada,4013.0,3119.0,288
531,2010-02-01,Ohio,18528.0,12089.0,813
532,2010-01-01,Florida,27038.0,15924.0,1303
533,2010-01-01,Iowa,36.0,2748.0,4
534,2010-01-01,Nevada,3511.0,2806.0,246
535,2010-01-01,Ohio,16178.0,11272.0,669
536,2009-12-01,Florida,29581.0,24460.0,1407
