,date,state,permit,handgun,long_gun,multiple
227,2020-10-01,Delaware,437.0,3951.0,2489.0,158
228,2020-10-01,District of Columbia,1004.0,470.0,11.0,5
229,2020-10-01,Florida,43802.0,83816.0,32346.0,3495
230,2020-10-01,Georgia,31924.0,26383.0,14710.0,1100
231,2020-10-01,Guam,0.0,221.0,88.0,12
232,2020-10-01,Hawaii,2110.0,0.0,0.0,0
233,2020-10-01,Idaho,6684.0,7439.0,8153.0,350
234,2020-10-01,Illinois,27352.0,28277.0,14905.0,1640
235,2020-10-01,Indiana,1186.0,27979.0,18181.0,1043
236,2020-10-01,Iowa,10952.0,218.0,4151.0,5
237,2020-10-01,Kansas,949.0,8659.0,7551.0,486
238,2020-10-01,Kentucky,1912.0,15816.0,12804.0,793
239,2020-10-01,Louisiana,2935.0,15180.0,13153.0,800
240,2020-10-01,Maine,663.0,5087.0,8215.0,291
241,2020-10-01,Mariana Islands,0.0,15.0,12.0,0
242,2020-10-01,Maryland,12233.0,10843.0,9873.0,6
243,2020-10-01,Massachusetts,13309.0,8354.0,4364.0,372
244,2020-10-01,Michigan,30855.0,34940.0,28266.0,1063
245,2020-10-01,Minnesota,30213.0,16941.0,20404.0,780
246,2020-10-01,Mississippi,3173.0,10982.0,10229.0,450
247,2020-10-01,Missouri,4294.0,25340.0,22636.0,1384
248,2020-10-01,Montana,2158.0,4429.0,7087.0,311
249,2020-10-01,Nebraska,5648.0,234.0,2960.0,5
250,2020-10-01,Nevada,4677.0,8764.0,3693.0,516
251,2020-10-01,New Hampshire,1919.0,7906.0,5243.0,0
252,2020-10-01,New Jersey,0.0,13275.0,7171.0,0
253,2020-10-01,New Mexico,1708.0,7814.0,5189.0,389
254,2020-10-01,New York,4243.0,10541.0,28281.0,513
255,2020-10-01,North Carolina,51717.0,2421.0,21403.0,231
256,2020-10-01,North Dakota,638.0,2326.0,4589.0,132
257,2020-10-01,Ohio,21228.0,35332.0,23048.0,1613
258,2020-10-01,Oklahoma,2401.0,14860.0,11904.0,932
259,2020-10-01,Oregon,6760.0,22277.0,14255.0,3
260,2020-10-01,Pennsylvania,41227.0,73607.0,29581.0,0
261,2020-10-01,Puerto Rico,0.0,3714.0,252.0,44
262,2020-10-01,Rhode Island,0.0,2143.0,1359.0,458
263,2020-10-01,South Carolina,15855.0,17032.0,10168.0,643
264,2020-10-01,South Dakota,847.0,3537.0,6336.0,237
265,2020-10-01,Tennessee,13850.0,33275.0,22568.0,0
266,2020-10-01,Texas,57784.0,72591.0,44620.0,3237
267,2020-10-01,Utah,19408.0,7356.0,6378.0,0
268,2020-10-01,Vermont,0.0,2139.0,2723.0,139
